year,plant_id,tree_ht,type_bud,bud_count
2016,arauc01,6,top,4
2016,arauc02,7,top,6
2016,arauc03,9,top,5
2016,arauc04,8.5,top,10
2016,arauc05,1.8,top,5
2016,arauc06,1.5,top,13
2016,arauc07,3,top,23
2016,arauc08,0.9,top,4
2016,arauc09,2.5,top,18
2016,arauc10,0.9,top,4
2016,arauc11,1.3,top,4
2016,arauc12,0.4,top,1
2016,arauc13,2.5,root,9
2016,arauc16,1.1,root,14
2016,arauc17,1,root,10
2016,arauc18,1.6,root,15
2016,arauc19,1,root,7
2016,arauc20,0.5,root,9
2016,arauc21,0.5,root,5
2016,arauc25,2,top,11
2016,arauc26,1.5,root,1
2016,arauc27,2.5,root,5
2016,arauc28,1.8,root,7
2016,arauc29,3,root,3
2016,arauc30,1.7,root,5
2016,arauc31,3.8,root,6
2016,arauc32,0.9,root,3
2016,arauc33,3.2,root,8
2016,arauc34,2.9,root,6
2016,arauc35,1.3,root,3
2016,arauc36,3.3,root,5
2016,arauc37,2.2,root,11
2016,arauc38,1,root,2
2016,arauc39,0.6,root,9
2016,arauc40,1.3,root,20
2016,arauc41,0.7,root,22
2016,arauc42,1.2,root,8
2016,arauc43,4.2,top,18
2016,arauc44,2.2,root,4
2016,arauc45,2.2,top,6
2016,arauc46,4,root,1
2016,arauc47,2,root,7
2016,arauc48,1.6,root,6
2016,arauc49,4,top,7
2016,arauc50,2,root,3
2016,arauc51,1.3,root,10
2016,arauc52,0.8,root,6
2016,arauc53,1.3,root,4
2016,arauc54,0.6,root,1
2016,arauc55,1.3,root,7
2016,arauc81,1.4,top,4
2016,arauc82,8,top,7
2016,arauc83,2.7,top,7
2016,arauc84,1.2,top,2
2016,arauc85,3,top,4
2016,arauc86,8.5,top,8
2016,arauc87,1.6,top,2
2016,arauc88,0.9,,
2016,arauc89,2.75,,
2017,arauc01,6,root,3
2017,arauc05,1.8,top,15
2017,arauc07,3,top,27
2017,arauc08,0.9,,
2017,arauc10,0.9,top,12
2017,arauc11,1.3,top,9
2017,arauc12,0.4,top,3
2017,arauc13,2.5,root,2
2017,arauc17,1,root,10
2017,arauc18,1.6,root,23
2017,arauc21,0.5,root,3
2017,arauc24,2,root,1
2017,arauc25,2,top,24
2017,arauc26,1.5,root,1
2017,arauc27,2.5,root,15
2017,arauc28,1.8,root,10
2017,arauc29,3,root,9
2017,arauc30,1.7,root,15
2017,arauc31,3.8,root,10
2017,arauc32,0.9,root,7
2017,arauc33,3.2,root,5
2017,arauc34,2.9,root,21
2017,arauc36,3.3,root,7
2017,arauc37,2.2,root,17
2017,arauc38,1,root,2
2017,arauc42,1.2,root,22
2017,arauc43,4.2,top,49
2017,arauc44,2.2,root,4
2017,arauc46,4,root,9
2017,arauc47,2,root,11
2017,arauc48,1.6,root,8
2017,arauc51,1.3,root,10
2017,arauc53,1.3,root,7
2017,arauc54,0.6,root,2
2017,arauc55,1.3,root,1
2017,arauc57,1.7,root,13
2017,arauc58,1.2,root,3
2017,arauc59,1.1,root,5
2017,arauc60,1.2,root,5
2017,arauc61,1.5,root,1
2017,arauc62,0.8,root,1
2017,arauc63,0.8,root,3
2017,arauc64,1.3,root,3
2017,arauc65,1.1,root,2
2017,arauc67,0.9,root,4
2017,arauc70,0.8,root,2
2017,arauc72,1.2,root,1
2017,arauc79,2.5,root,1
2017,arauc81,1.4,top,6
2017,arauc83,2.7,top,18
2017,arauc84,1.2,top,9
2017,arauc87,1.6,top,7
2017,arauc88,0.9,root,1
2017,arauc89,2.75,top,13
2018,arauc05,1.8,top,13
2018,arauc07,3,top,46
2018,arauc08,0.9,,
2018,arauc10,0.9,top,27
2018,arauc11,1.3,top,14
2018,arauc18,1.6,root,18
2018,arauc25,2,top,34
2018,arauc27,2.5,root,1
2018,arauc30,1.7,root,19
2018,arauc31,3.8,root,5
2018,arauc34,2.9,root,42
2018,arauc37,2.2,root,17
2018,arauc41,0.7,,
2018,arauc43,4.2,top,66
2018,arauc46,4,root,17
2018,arauc47,2,root,6
2018,arauc48,1.6,root,6
2018,arauc51,1.3,root,10
2018,arauc52,0.8,root,2
2018,arauc54,0.6,,
2018,arauc55,1.3,root,4
2018,arauc57,1.7,root,13
2018,arauc58,1.2,root,2
2018,arauc60,1.2,root,2
2018,arauc61,1.5,root,4
2018,arauc64,1.3,,
2018,arauc71,0.6,,
2018,arauc76,1,,
2018,arauc79,2.5,root,5
2018,arauc81,1.4,top,13
2018,arauc83,2.7,top,23
2018,arauc84,1.2,top,16
2018,arauc87,1.6,top,15
2018,arauc88,0.9,root,1
2018,arauc89,2.75,,
